,NAME,ADDRESS_1,CATE,SUBCATE,STATION_NAME,LAT_1,LON_1
47,커피베이가산직영점,서울 금천구 벚꽃로 254-0,맛집,카페/찻집,가산디지털단지,37.47776302,126.8854927
48,코애식당,서울 금천구 가산디지털2로 127-33,맛집,외국식,가산디지털단지,37.47838349,126.8777911
49,파티엘하우스,서울 금천구 디지털로 173-0,맛집,외국식,가산디지털단지,37.47796964,126.8860685
50,풍년갈비,서울 금천구 디지털로12길 33-0,맛집,한식,가산디지털단지,37.47749788,126.8900761
51,호세가,서울 금천구 남부순환로108길 19-0,맛집,외국식,가산디지털단지,37.47793715,126.8923512
52,화로구이독산점,서울 금천구 범안로 1200-0,맛집,한식,독산,37.46632999,126.8950699
0,갈비예찬미아점,서울 강북구 도봉로 156-0,맛집,한식,미아,37.62285092,127.0278576
1,고메스퀘어수유점,서울 강북구 도봉로 308-0,맛집,전문음식,수유,37.63566409,127.0238352
2,능이마을,서울 강북구 솔샘로 330-0,맛집,외국식,미아사거리,37.61698513,127.0285939
3,다래함박스텍,서울 강북구 수유로 20-2,맛집,외국식,수유,37.63276839,127.0190317
4,마루국시미아직영점,서울 강북구 도봉로 242-0,맛집,한식,미아,37.63058484,127.0248864
5,메이린,서울 강북구 월계로 173-0,맛집,외국식,미아사거리,37.62025446,127.0443247
6,명인갈비미아직영점,서울 강북구 솔샘로 327-0,맛집,한식,미아사거리,37.61743935,127.0284555
7,문가네정육식당수유본점,서울 강북구 한천로 1077-0,맛집,한식,수유,37.64231358,127.0232052
8,벼랑순대국,서울 강북구 한천로 924-0,맛집,한식,수유,37.63430392,127.0372513
9,산성골,서울 강북구 덕릉로 126-0,맛집,한식,수유,37.63475903,127.027676
10,섬진강민물장어,서울 강북구 한천로 1151-0,맛집,외국식,수유,37.64661177,127.0170991
11,소담촌미아사거리점,서울 강북구 월계로 3-0,맛집,한식,미아사거리,37.60958992,127.0306828
12,소담촌수유점,서울 강북구 도봉로 388-0,맛집,외국식,수유,37.64135638,127.0296291
13,송담추어탕미아점,서울 강북구 도봉로 30-0,맛집,한식,미아사거리,37.61162984,127.0307276
14,수유리먹자골목,서울 강북구,맛집,기타음식,수유,37.63975133,127.0255381
15,수유리우동집본점,서울 강북구 덕릉로 98-0,맛집,외국식,수유,37.63460015,127.0245882
16,수유리조트,서울 강북구 노해로8가길 45-0,맛집,카페/찻집,수유,37.64009497,127.0233137
17,수유손칼국수,서울 강북구 도봉로101길 45-0,맛집,한식,수유,37.64396765,127.028361
18,쉐이크쉑수유점,서울 강북구 도봉로 315-0,맛집,간이음식,수유,37.63693054,127.0232816
19,스시노칸도수유점,서울 강북구 한천로139나길 1-0,맛집,외국식,수유,37.63904042,127.0252787
20,아웃백스테이크하우스미아점,서울 강북구 도봉로 62-0,맛집,외국식,미아사거리,37.61459298,127.0305177
21,애슐리퀸즈미아사거리역점,서울 강북구 도봉로 52-0,맛집,외국식,미아사거리,37.61369937,127.0305285
22,엔제리너스수유역점,서울 강북구 도봉로 333-0,맛집,카페/찻집,수유,37.63786991,127.0250518
23,엘림들깨수제비본점,서울 강북구 삼각산로 67-0,맛집,한식,수유,37.63999614,127.0117752
24,옛가,서울 강북구 노해로 91-14,맛집,한식,수유,37.6439573,127.0219732
25,와겐커피,서울 강북구 솔매로 131-0,맛집,카페/찻집,종로3가,37.62650685,127.0266844
26,장수마늘보쌈,서울 강북구 덕릉로 192-0,맛집,외국식,수유,37.63575931,127.0350964
27,제프리카벤디쉬런던수유프리미어엠점,서울 강북구 덕릉로 76-0,맛집,카페/찻집,수유,37.63434592,127.0221609
28,조마루감자탕미아점,서울 강북구 솔샘로 332-0,맛집,한식,미아사거리,37.61700448,127.0290427
29,지우정,서울 강북구 삼각산로 130-0,맛집,한식,가오리,37.64082731,127.0186592
30,진호횟집,서울 강북구 도봉로98길 33-0,맛집,외국식,수유,37.64130129,127.0315024
31,카페어니언미아점,서울 강북구 솔매로50길 55-0,맛집,카페/찻집,미아,37.62402918,127.0284335
32,풍천장어마을,서울 강북구 삼양로181길 45-0,맛집,외국식,미아사거리,37.66593044,127.0102855
0,강강술래신림점,서울 관악구 남부순환로 1660-0,맛집,한식,신림,37.484572,126.9350331
1,강릉형제장칼국수,서울 관악구 대학5길 10-7,맛집,한식,봉천,37.46901048,126.9383964
2,고베그릴,서울 관악구 남부순환로 2082-25,맛집,한식,사당,37.47605668,126.9810128
3,고창복의낙지세상봉천점,서울 관악구 남부순환로 1725-0,맛집,외국식,봉천,37.48268453,126.9418913
4,구수옥설렁탕,서울 관악구 남부순환로 1674-0,맛집,한식,봉천,37.484358,126.9365012
5,기절초풍왕순대,서울 관악구 봉천로62길 2-0,맛집,한식,낙성대,37.47811024,126.9584195
6,김영자나주곰탕신림본점,서울 관악구 신림로28길 38-0,맛집,한식,봉천,37.47226877,126.935285
7,낙성기사식당,서울 관악구 봉천로 550-0,맛집,한식,낙성대,37.47809738,126.9587533
8,논밭골봉천점,서울 관악구 청룡길 30-0,맛집,한식,봉천,37.48048258,126.9459309
9,담양에초대사당역점,서울 관악구 남현1길 38-10,맛집,한식,사당,37.47537657,126.9792451
10,담양죽순추어탕,서울 관악구 남부순환로 2082-37,맛집,한식,사당,37.47616809,126.980172
