"T_IDX","STATION_NAME","T_NAME","CATE","ADDRESS","LAT","LON"
208,"공덕","만리재길","관광지","서울 중구",37.55204771,126.9629847
209,"공덕","송추가마골인어반마포점","맛집","서울 마포구 독막로 311-0",37.543995,126.94748
210,"공덕","역전회관","맛집","서울 마포구 토정로37길 47-0",37.54294,126.947014
211,"공덕","탑클라우드23","맛집","서울 마포구 백범로 192-0",37.543232,126.95162
212,"공덕","두껍삼마포직영점","맛집","서울 마포구 독막로 331-0",37.543003,126.94938
213,"공덕","마키노차야마포점","맛집","서울 마포구 마포대로 92-0",37.54254,126.952194
214,"공덕","효창공원","관광지","서울 용산구 임정로 58-0",37.54552067,126.9601239
215,"공덕","마포진짜원조최대포본점","맛집","서울 마포구 마포대로 112-4",37.54456,126.95197
216,"공덕","몽중헌공덕점","맛집","서울 마포구 마포대로 92-0",37.54254,126.952194
217,"공덕","비파티세리공덕점","맛집","서울 마포구 마포대로14길 4-0",37.548634,126.95508
218,"공덕","이마트/마포점","관광지","서울 마포구 백범로 212-0",37.5423821,126.9533746
219,"공덕","공덕시장족발골목","관광지","서울 마포구 만리재로 19-0",37.54471954,126.9532896
220,"공덕","공덕시장","관광지","서울 마포구",37.54468739,126.9532912
221,"공덕","마포양지설렁탕","맛집","서울 마포구 새창로 6-0",37.542038,126.95051
222,"공릉","경복식당","맛집","서울 노원구 공릉로39길 10-0",37.62371,127.07886
223,"공릉","서울과학기술대학교 백주년기념관","관광지","서울 노원구 공릉로 232-0",37.63067822,127.0784457
224,"공릉","공릉동국수거리","맛집","서울 노원구",37.65436,127.05643
225,"공릉","라라브레드공릉점","맛집","서울 노원구 공릉로41길 32-0",37.624863,127.07786
226,"공릉","마포생고기","맛집","서울 노원구 동일로190길 39-0",37.62601,127.075264
227,"공릉","멍텅구리즉석떡볶이","맛집","서울 노원구 공릉로51길 14-2",37.628876,127.076385
228,"공릉","무봉리토종순대국","맛집","서울 노원구 동일로192길 63-0",37.627155,127.07627
229,"공릉","생선까시","맛집","서울 노원구 동일로191가길 22-0",37.62598,127.07142
230,"공릉","소문난멸치국수","맛집","서울 노원구 동일로173가길 81-0",37.621883,127.07242
231,"공릉","유정집","맛집","서울 노원구 동일로173가길 65-0",37.621162,127.07265
232,"공릉","쪼매매운떡볶이공릉점","맛집","서울 노원구 공릉로 208-0",37.62827,127.07778
233,"공릉","청학골","맛집","서울 노원구 동일로192길 6-0",37.625538,127.07358
234,"공릉","춘보만두","맛집","서울 노원구 섬밭로 56-0",37.621918,127.07184
235,"공릉","코타브레드","맛집","서울 노원구 공릉로 165-0",37.624733,127.07956
236,"공릉","공릉쇼핑센터","관광지","서울 노원구 동일로180길 14-0",37.62209586,127.0752794
237,"공릉","한촌설렁탕공릉역점","맛집","서울 노원구 동일로 1045-0",37.623405,127.07341
238,"공릉","핏짜굽는언니","맛집","서울 노원구 동일로198길 58-0",37.629486,127.07473
239,"광나루","아차산배수지/축구장","관광지","서울 광진구 천호대로 731-0",37.54879891,127.0967782
240,"광나루","파라다이스카지노/워커힐","관광지","서울 광진구 워커힐로 177-0",37.55523021,127.1107617
241,"광나루","아차산생태공원","관광지","서울 광진구",37.55188192,127.1007778
242,"광나루","구의야구공원","관광지","서울 광진구 광나루로 571-0",37.54696579,127.0956672
243,"광나루","아차산","관광지","서울 광진구",37.57154633,127.1037774
244,"광나루","예스24라이브홀","관광지","서울 광진구 구천면로 20-0",37.54577156,127.1079717
245,"광나루","빛의시어터","관광지","서울 광진구 워커힐로 177-0",37.55549267,127.1103603
246,"광나루","워커힐숲길","관광지","서울 광진구",37.55163198,127.1063051
247,"광나루","서울거리예술창작센터","관광지","서울 광진구 아차산로 710-0",37.55596485,127.1128045
248,"광나루","피자힐","맛집","서울 광진구 워커힐로 177-0",37.558628,127.11171
249,"광나루","콩예원","맛집","서울 광진구 아차산로78길 75-0",37.551598,127.110985
250,"광나루","카페드노보","맛집","서울 광진구 아차산로78길 157-0",37.548145,127.1091
251,"광나루","중일가든","맛집","서울 광진구 아차산로76가길 4-0",37.547523,127.1075
252,"광나루","신선설농탕광나루역점","맛집","서울 광진구 천호대로 813-0",37.545616,127.10413
253,"광나루","스시토푸","맛집","서울 광진구 아차산로 612-0",37.54734,127.1067
254,"광나루","서울편백찜광장점","맛집","서울 광진구 광장로 83-0",37.54803,127.106285
255,"광나루","범가","맛집","서울 광진구 광장로 58-1",37.54711,127.10361
256,"광나루","버터버거","맛집","서울 광진구 구천면로 13-0",37.5468,127.107285
257,"광나루","명월관","맛집","서울 광진구 워커힐로 177-0",37.558628,127.11171
258,"광나루","메이탄구의점","맛집","서울 광진구 광나루로 590-0",37.542587,127.09394
259,"광나루","더뷔페","맛집","서울 광진구 워커힐로 177-0",37.558628,127.11171
260,"광나루","37.5광진점","맛집","서울 광진구 아차산로76가길 5-0",37.5472,127.107605
261,"광운대","애슐리퀸즈이마트월계점","맛집","서울 노원구 마들로3길 15-0",37.62651,127.06198
262,"광화문","경희궁","관광지","서울 종로구 새문안로 55-0",37.5707678,126.9688729
263,"광화문","청계광장","관광지","서울 종로구 청계천로 1-0",37.56926803,126.9779276
264,"광화문","광화문광장","관광지","서울 종로구 세종대로 지하 172-0",37.5724276,126.9769283
265,"광화문","씨네큐브/광화문점","관광지","서울 종로구 새문안로 68-0",37.56974016,126.9722615
266,"광화문","동화면세점/본점","관광지","서울 종로구 세종대로 149-0",37.56960131,126.97615
267,"광화문","대한민국역사박물관","관광지","서울 종로구 세종대로 198-0",37.57393416,126.9778165
268,"광화문","오제제","맛집","서울 중구 세종대로 136-0",37.568424,126.97826
269,"광화문","붓처스컷광화문점","맛집","서울 중구 세종대로 136-0",37.568424,126.97826
270,"광화문","디라이프스타일키친","맛집","서울 중구 세종대로 136-0",37.568424,126.97826
271,"광화문","광화문국밥본점","맛집","서울 중구 세종대로21길 53-0",37.568954,126.975426
272,"광화문","파리크라상광화문점","맛집","서울 종로구 종로 1-0",37.573055,127.016594
273,"광화문","폴바셋광화문점","맛집","서울 종로구 종로1길 50-0",37.574726,126.97902
274,"광화문","라그릴리아광화문점","맛집","서울 종로구 청계천로 11-0",37.569485,126.97887
275,"광화문","아우어베이커리광화문디팰리스점","맛집","서울 종로구 새문안로2길 10-0",37.568703,126.971985
276,"광화문","암소서울","맛집","서울 종로구 새문안로 76-0",37.569798,126.973175
277,"광화문","덕후선생광화문D타워점","맛집","서울 종로구 종로3길 17-0",37.570995,126.97891
278,"광화문","한일관광화문점","맛집","서울 종로구 종로1길 50-0",37.574726,126.97902
279,"광화문","테라로사광화문지점","맛집","서울 종로구 종로1길 50-0",37.574726,126.97902
280,"광화문","송추가마골인어반광화문점","맛집","서울 종로구 새문안로5길 31-0",37.572975,126.97435
281,"광화문","청진옥본점","맛집","서울 종로구 종로3길 32-0",37.571728,126.97946
282,"광흥창","프랑제리피어 신촌점","맛집","서울 마포구 서강로 75-16",37.54962,126.93126
283,"교대","푸주옥","맛집","서울 양천구 남부순환로 663-0",37.51022,126.84296
284,"교대","헬로방방/서초본점","관광지","서울 서초구 사임당로 115-0",37.4910829,127.0223966
285,"교대","탐라도야지본점","맛집","서울 서초구 서초대로50길 82-0",37.489594,127.01356
286,"교대","이남장서초점","맛집","서울 서초구 서초대로49길 4-0",37.49379,127.01238
287,"교대","서석대","맛집","서울 서초구 서초대로 346-0",37.4951,127.019424
288,"교대","서관면옥","맛집","서울 서초구 서초대로56길 11-0",37.49399,127.01727
289,"교대","샘밭막국수","맛집","서울 서초구 서초중앙로24길 27-0",37.49541,127.0164
290,"교대","삿뽀로서초점","맛집","서울 서초구 서초중앙로 195-0",37.499184,127.012024
291,"교대","김영모과자점서초성당점","맛집","서울 서초구 서초대로64길 41-4",37.493793,127.021385
